Period,OccupancyRate
1,43.7
2,41
3,36.5
4,32.8
5,24.5
6,24.1
7,26
8,26.2
9,30.7
10,29.9
11,35.2
12,33.8
13,44.1
14,41.8
15,36.9
16,34.3
17,25.1
18,23.5
19,26.9
20,26.9
21,28.3
22,31.5
23,36.5
24,37.5
25,47.7
26,44.8
27,40.8
28,34.6
29,27.1
30,25.3
31,28.9
32,29.2
33,30.5
34,32.8
35,36.2
36,37.8
37,48.1
38,46.6
39,45.1
40,36.5
41,28.7
42,26.7
43,30.6
44,29.8
45,31.7
46,35
47,39.9
48,40.3
49,48.8
50,48.8
51,44
52,39.6
53,29.4
54,26.6
55,31.3
56,29.9
57,32.8
58,35.2
59,40
60,42.1
61,50.4
62,48.9
63,45.3
64,39.5
65,30.1
66,29
67,32.5
68,30.8
69,32.9
70,34.2
71,41
72,40.8
73,50.9
74,49.7
75,46.4
76,38.1
77,29
78,29.6
79,31.6
80,29.7
81,32.1
82,33.3
83,39.1
84,38.8
85,48.8
86,48.7
87,44.1
88,37.7
89,29.2
90,27.6
91,30.7
92,30.7
93,32.9
94,34.8
95,41
96,40.4
97,51.1
98,51.6
99,46.9
100,38.5
101,30.8
102,28.8
103,31.7
104,31.4
105,33.4
106,33.7
107,40.5
108,40.1
109,50.8
110,50.8
111,47.6
112,38.3
113,30.8
114,27.5
115,31.3
116,30.5
117,32.1
118,34.4
119,38.2
120,38.4
121,48.3
122,48.2
123,43.6
124,37.8
125,30
126,25.4
127,30.4
128,29.1
129,31.6
130,33.4
131,37.8
132,39.6
133,49.5
134,48.5
135,43.7
136,37.3
137,28.1
138,26.9
139,30.5
140,29.1
141,31.6
142,33.4
143,38.9
144,39
145,48.9
146,47.8
147,42.6
148,37.7
149,29.6
150,27.6
151,31.8
152,32.1
153,32.1
154,34
155,39.1
156,39.6
157,48
158,46.5
159,42.2
160,36.3
161,29
162,27.7
163,29.9
164,29.3
165,31.2
166,34.5
